,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
GM36264,24.035787153345815,54.32763386008139,49.79466724061055,36.34502391971664
GM37058,200.23991992082688,160.779927463201,147.07445432119735,130.13270271331942
GM37356,14.07106318168774,23.942450731924264,12.761808942351218,12.484688103216028
GM37666,8.782259368366331,11.008936912112217,25.70161957449369,28.637762969169
GM37674,45.191002406631455,46.80568723084834,24.925122536605482,16.918289453106095
GM37824,64.75598687280927,77.12680498921036,46.5873132842874,52.3747315371207
GM37949,19.511046211347512,22.771204086077546,12.816948067797766,12.500634927487761
GM37956,49.59153325970655,56.21841241184128,32.95425055163552,20.158651826463053
GM37978,75.51174284320561,64.19087037550807,112.84705773647308,114.39336272020341
GM38036,74.60466754517543,71.4338250840932,38.21510401924463,32.70827707655161
GM42895,40.29363119786353,42.931047577830725,59.233037622710846,80.12097695326436
GM43428,24.462355674945748,27.337469013500144,12.816948067797766,13.736103452453955
GM43429,37.137669992541774,44.76062299614184,18.27530823107461,28.62628061014026
GM43593,72.11552824966874,81.55881978932861,57.08475518296128,53.159975125007996
GM43690,9.60026049451975,7.4162722391753455,15.654161284542738,22.208325261183173
GM44117,10.178008232458044,5.417505343663392,22.394748835090223,24.214622688331087
GM44851,25.61785115082234,24.508807503085364,40.377793618084645,58.019179386190785
GM45457,175.9638793792659,147.67484780095052,100.42157825976881,105.46198704390929
GM45727,14.338285697318021,13.497449797082913,35.0499932348494,39.572118066507144
GM47694,27.137810103837253,18.41811402135599,32.75198382529992,41.838164488347765
GM47976,26.773346626698924,18.87103216678935,34.016090345179045,41.722068862556156
GM49326,21.54664785783912,20.68162216610948,15.977298821525126,11.01268903058615
GM49413,25.86627132866875,38.986892273042336,17.279638829885187,15.878654065936658
GM52970,6.044699895013223,6.474765081130411,27.189658488341895,49.09303234549822
GM52971,5.164593724398203,5.6858243636423405,18.814073331116244,35.19043936589471
GM5834,463.4135093287714,372.8224945123346,372.60220698647277,335.99334988007104
GM6135,30.507055569958972,50.97478686431069,20.806120639743728,21.63779396204121
GM6222,8.568975107566366,20.451882678307694,12.380325295798476,9.174795557934525
GNL3,265.17158637886837,202.29046918863088,301.1901324889556,392.18752091699093
GNPDA1,341.1336375985004,325.2439573008808,258.26343846882264,256.52837783149846
