,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
D830050J10RIK,22.134837243038262,27.49404922544336,41.04913310163974,36.40010481313417
DCLK3,118.8855022175835,174.45513121612007,256.42751912962945,254.61017423812385
DCTN5,274.43822842756657,249.63053899181813,188.7370418203736,205.44834430176337
DDOST,1124.0010039153356,1110.6499540968405,1542.916072413163,1162.098816124417
DENND4C,875.79123991971,852.6737350486673,647.2132686129547,744.8333994046812
DERL3,3.2153123998448447,8.237318077976301,67.94914959553151,15.066995927763692
DHCR7,1599.4993253879552,1266.8699669066305,2256.887294494714,1418.3818160765743
DIPK2A,371.2129550266981,403.36378199733025,490.8746979904469,449.3909901358436
DIS3L,391.43348538972714,337.10295522562296,256.01681048434864,312.7473606897974
DLL4,71.69180831086202,102.02476152086412,125.57972629089964,121.53567660663087
DNAH11,23.091990683042905,35.10554040752962,8.892237721279704,15.511022424308107
DNAJB1,216.21875315052847,219.18057388620335,327.01275074065677,297.47701001611904
DNAJB11,735.3249889414434,811.7516367967237,1083.533735159917,677.719025984
DNAJC10,342.3802616293566,346.16283197432125,496.13316892967805,434.18417639709514
DNAJC3,2641.0170376492224,3091.596606651664,3360.965898389453,3069.1051086683565
DPYS,3099.2644179444665,3601.097866989053,3728.6725260293915,4381.765756550271
DSC2,668.2394268298543,690.0091480521572,829.206738836067,882.607909221375
DYRK1A,547.0606143991984,474.1355941125129,375.9842481432394,415.12639136061017
ECI3,63.057801577692366,49.25146248483904,15.970657116357394,13.144511897934374
EDEM2,544.6777114649682,570.4473474781042,792.4479657057442,654.1604317242984
EDNRB,208.90537771032226,165.00013511273514,104.73131012016253,130.62048545216268
EI24,1958.7511893031892,1885.4679656271917,1330.388398628374,1560.2825250905464
EMP1,89.70230296322337,36.50319835909517,19.45308227085457,11.910134200861153
EMP2,119.7068220545521,144.7649429715216,183.03472804082648,194.53650424015342
ENHO,188.39799021955184,190.14918522226165,343.4730611857339,184.95442545463052
ENO3,40.443278651787175,50.88005581414264,66.33541177747419,55.703709904335305
EPB41L4B,813.4081705057393,917.4950308447878,1061.9724266332564,1117.6498418996414
ERBB3,4248.9732712704445,3314.0776603025533,2045.6335985633168,2851.08670956967
ERGIC1,1057.8222540688494,1031.1203884139723,711.7274078749758,795.4388716702279
ERLIN1,445.0885194979122,410.4870221730789,550.6881406750846,536.9181542796085
EXOC6B,259.0253089634179,247.16169626269476,171.69668463633093,177.39909272416384
F5,8828.211726899675,9468.806570511919,10672.08736724304,11512.895656275596
FABP1,14790.24657584049,19703.873824429273,20008.17337506091,21432.206972824064
FABP5,180.09452801183778,129.7663120607038,717.0202249946277,98.25864177447319
FAM107B,490.3986219263984,506.59276165711964,622.8670820920047,804.8353526022621
FAM13A,286.32048088808426,363.0448079437825,417.2662716802168,465.02808679316587
FAM149B,414.4225757972372,400.176677997412,292.50758796461025,338.8636511590145
FAM167B,35.155982070039954,44.67823485376317,58.49849165277436,54.00627535918583
FAM20C,779.4021704308295,820.193301812896,1005.6612345254249,921.6645501429052
