,Tx ZT0,Tx ZT12,V ZT0,V ZT12
CYTH2,332.00811420732435,411.59872766913026,354.9495392553201,418.484513929988
CYTH4,132.7140311293995,90.80238130756963,111.37646588966534,95.08139250151511
CYTIP,28.798104956692622,14.580158474687623,25.15950280524423,10.472919557177034
CYYR1,251.76200150345323,177.23512401077977,230.19660086021844,177.04973326716902
D130020L05RIK,145.03590020604113,144.16933012756473,118.64573868898681,169.31067991484852
D130043K22RIK,101.4638275190756,144.9110491654666,144.38579651606085,199.46724342292774
D130062J10RIK,31.566236518648925,28.150530549647456,21.811244612164504,37.40011228139195
D16ERTD472E,418.4777027886451,458.0170627488342,374.7498580107492,505.14460264552986
D330050I16RIK,13.641302792743424,24.11915914279547,17.32089542555781,12.537093667356368
D5ERTD579E,1836.1522830933673,2347.337690217544,1831.0311964611158,2099.103352275771
D630039A03RIK,323.9570837560494,218.68756990300653,312.247278473781,184.74101299289285
D6WSU163E,198.86107804866788,151.04936379954623,205.86511992437337,151.5818759276802
D8ERTD738E,709.9339813270257,810.1318804170393,784.5164657738909,797.2176948126908
D930048N14RIK,195.50793388632056,124.51446253835302,165.5360788850609,162.3695646971527
DAAM1,1734.2041970782345,2087.0342141788283,1707.2075958652579,1910.8769561731106
DAB2,554.5713383100377,401.7945696479394,527.5687121753595,407.17144089375404
DACT1,115.1459009962032,261.62536696283865,70.45278959557301,229.35978005194337
DACT2,287.04474451414575,217.35540535101813,305.7924048828417,213.72605465854133
DAG1,2235.309121585977,2344.37506409335,2403.426974453159,2396.51020578224
DALRD3,614.2234696877064,675.6637557378035,578.9779532464569,651.3942596314342
DAP,2098.20784854388,2179.2425598995956,2107.6983076589036,2447.347868789837
DAPK1,3440.5077162035536,1564.0998049080497,3174.3368610067832,1608.949286393198
DAPK2,265.35576880549576,165.7999842225937,242.45371271035307,158.7877307602124
DARS1,1404.2248678992644,1550.0776749901963,1504.5147376493167,1387.6437011958024
DAXX,312.92613682106406,258.8174898176796,325.49863719222145,232.72466430374507
DAZAP1,643.5252891822518,765.2978882059027,595.623623912141,737.7672475404537
DBF4,64.84021627833015,90.91656334246689,85.19931936719935,84.0611728504846
DBI,10587.08818689959,8934.657563647534,12000.254252535791,8485.544230343468
DBP,26.593723463788653,1552.9506156656728,22.31045601811081,1505.0708931180554
DCAF1,1025.2621324041072,1057.210295738679,1015.9699846655582,1092.2622806807356
DCAF13,449.84947288456857,513.7276758934426,466.3419989891531,461.0924550907214
DCAF6,924.0682130769159,938.6159811760064,819.0023934873961,944.3973567237257
DCAF7,1279.9327367745225,1086.8762957641547,1292.115501817413,1067.6808235149117
DCAF8,3767.442634988622,3906.8119170516597,3881.8150739244247,3801.1835493204185
DCBLD1,67.50246379775824,99.1570506259829,69.54512878275064,76.12578401117871
DCBLD2,134.70618028733796,94.22604300271962,131.6196636542766,97.53015596145967
DCDC2A,66.90879096667871,33.13083377055077,68.53081659606897,30.666605563819402
DCLK3,232.07794923600432,284.6625307322981,201.0727904209907,374.9730163199897
DCLRE1A,337.4971850312476,460.505714992752,350.9205385745926,490.46905693960804
DCLRE1B,115.66702100556502,143.01195514054655,97.63254904064009,138.41778610162777
DCLRE1C,253.5797267774034,266.70445728459936,210.04587955285638,241.22517410108514
DCN,2239.5344412042127,1766.9898604830353,2274.0093047570062,1514.976176129335
DCT,76.48465252692161,62.00719431285322,113.58948113621528,53.91844354529186
DCTN2,1587.5325019314048,1829.1556769396368,1798.431358807682,1854.2137998505643
