,Tx ZT0,Tx ZT12,V ZT0,V ZT12
INTS6L,78.74016291165758,114.65214968031917,92.36544722189616,95.39198971947746
INTS7,515.9745069640371,380.56873765017644,420.68836647341277,355.5613985018037
IPO5,708.4859690434828,844.6749596245894,740.2005609431586,917.7463322762236
IQCE,233.45317290799156,144.35052036314156,195.5109829334488,141.73286908214462
IRAK2,398.8105614537895,287.3606773029395,433.8015629971889,244.63631908385528
IRAK4,242.0414630396349,134.49683315663538,206.56016255367112,127.33241497802608
IRF1,580.6111416245644,455.6577794515224,569.8646935245885,385.82293061477276
IRF2,565.779760124472,589.6562607315178,484.63341688972633,658.4509053198293
IRF2BP2,1479.2578385949512,830.932092094074,1721.307234518313,988.0029669149429
IRF2BPL,372.284586130294,412.0711886897346,388.9741915955348,458.0327859167621
IRF5,258.21493785371376,161.39735790363844,322.5088051945565,131.92302399834026
IRF6,608.974301753785,319.84886477115543,750.9215359077158,335.0598125114514
IRF8,106.47984421243535,147.37792479252403,121.16602115833882,130.45344844327676
IRGM1,695.473294822278,428.920041703546,779.4569839063171,411.2676087996808
IRGM2,784.5872034648633,475.9134593055498,779.5491639934216,452.41691806471795
IRS1,1524.545384352241,998.3683776509396,1277.174134630407,728.6002173851048
IRS2,1064.3393896786513,384.9238422410599,1088.8997342076748,388.13827716640077
ISG15,74.97712871185165,53.331907462168694,53.30605856634656,38.933062236881824
ISG20,31.097224276598382,21.33236667295449,38.58662447307102,13.815266970801089
ISOC2A,1001.2314162722408,1021.4930179286849,983.2509938726016,1116.203255349121
ISYNA1,169.39475893821128,205.54448917291234,86.83863621423306,97.9748749398896
ITCH,1075.731931019191,1352.0885086550547,1150.0154025724667,1516.9818156852568
ITGA5,980.6695767428777,589.6049393205604,998.9288785777931,411.2558159844819
ITGA6,130.02513548620158,101.77857036246182,147.1291130265371,64.2279821472465
ITGA8,108.22742875040706,93.07102537898966,162.14830548426963,85.25141323947012
ITGAL,343.3663022188729,297.53429659330146,315.17763567371503,198.1594241130231
ITGAX,29.45401415914611,16.628939809881935,13.920446838413659,9.758924273189061
ITGB1BP2,21.797706735794527,27.68320000746651,19.235201799818793,34.63620276617571
ITGB2,186.11597045810757,161.5611329345925,145.18014731600206,95.268345234779
ITGB3,105.55986796223597,162.7827952351698,131.46818599889428,189.42516469875798
ITGB5,1138.4602581330773,969.7508110660665,1183.654888288166,858.6802898726478
ITIH1,13811.66858168599,11594.635932410538,13002.721532016565,9278.68814168415
ITIH3,40270.009710922,28331.581614374325,24197.039843521456,17493.9391004569
ITIH4,67297.29738015014,63408.89527100536,41605.47421166715,39321.41117991279
ITPK1,356.64960925861385,198.6823951551472,403.74682781170486,191.0404339969941
ITPR1,2863.4985810512844,3135.48050791789,2732.3578775164665,3123.8531363390434
ITPRIP,29.470639998947796,27.681798055310548,22.341811888853783,47.483011470857996
ITSN1,981.4039010605848,654.7558623751021,927.4727967764957,553.6337122041951
IVNS1ABP,1175.917890336134,1746.8010395954623,1151.6740918457017,2052.023920077772
IWS1,610.847505933787,449.24940873973406,614.4600634915304,476.06924930072086
IZUMO4,128.0974344050851,175.92780621281295,130.00343771069572,157.3216862718159
JADE1,584.1063107005077,616.6094774243383,542.0183410544528,659.7976307524568
JADE2,425.3670207622147,452.49145268663807,461.14566400195025,559.1791068175203
JAG1,199.73364598091786,128.39036882427453,162.75588482994374,126.35206469004537
JAM2,370.32363336957405,165.40143033159904,291.655070457469,205.85402130640634
JMJD1C,1535.4521123079792,1188.3369204714174,1599.1599095076308,1119.3317697151283
JOSD2,655.94665173567,476.81038434711877,637.3758863681903,397.81737675969157
JUNB,828.2934820974757,185.52815011982125,503.3929538928276,194.49746798803406
KANK1,1232.9323852605514,1034.6891674879523,1394.2810187867412,937.596645027924
KANK2,695.0992035908605,1025.9070617894233,867.6965023815413,908.5616958900787
KANK3,112.82731000140393,130.47298198645387,93.52316386442244,133.83333197459004
KANSL1L,238.1860608774019,236.87490482104067,240.22835497087854,291.0904048667766
